cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
high concentration,formulation_factor,structural stability,quality_attribute,destabilizes,2,2,high,the decrease in structural stability observed in these studies is probably the result of aggregation or self-association,17083094;34119424
NaCl,formulation_factor,aggregation,degradation_pathway,inhibits,2,2,high,aggregation inhibition is largely driven by preferential binding at the single-chain level,20723008;41719208
storage temperature,stress_condition,hydrogen peroxide stability,quality_attribute,destabilizes,2,1,high,"When stored at -20C, hydrogen peroxide was least stable and degraded faster than when stored at 2-8C.",30651338
elevated temperature,stress_condition,aggregation propensity,quality_attribute,increases,2,2,high,the least stable IgG4 mAb was subjected to different stresses including elevated temperatures,29037466;35504429
AXL overexpression,sequence_structure,poor outcomes,clinical_outcome,destabilizes,2,2,high,"AXL, a tyrosine kinase receptor that is overexpressed in many solid and hematologic malignancies, facilitates cancer pro",35086955;40491605
polysorbate 20,formulation_factor,adsorption,quality_attribute,increases,2,2,high,"Both mAbs, when formulated in PS20, demonstrate faster adsorption kinetics.",33656340;37081185
linker chemistry,formulation_factor,stability,quality_attribute,requires,2,2,medium,"optimizing ADC components, including linker chemistry and payload characteristics, is essential for ensuring stability.",40824329;41007788
hydrophobic interface,formulation_factor,aggregation,degradation_pathway,promotes,2,2,high,"hydrophobic interfaces, which may promote protein aggregation in solution.",39197798;39293723
residual host proteins,sequence_structure,polysorbate degradation,degradation_pathway,induces,2,2,high,The latter can be caused by residual host cell proteins (HCPs) in the drug substance.,38042510;39295215
high concentration,formulation_factor,thermal stability,quality_attribute,stabilizes,2,2,high,"thermal, monomeric, and colloidal stability of formulated MS-Hu6 was maintained at a concentration of 100 mg/mL.",37214886;37334968
oxidation,degradation_pathway,immunogenicity,clinical_outcome,destabilizes,2,2,high,"Oxidation is one of the most common degradation pathways of biopharmaceutics, potentially leading to an increased immuno",38677563;40345531
sodium chloride,formulation_factor,aggregation,degradation_pathway,promotes,2,2,high,the presence of NaCl accelerates the aggregation of both mAbs.,35081405;39179400
NaCl presence,formulation_factor,mAb particle formation,degradation_pathway,promotes,2,1,medium,the presence of NaCl exhibited a pH and stress-dependent behavior resulting in promotion or inhibition mAb particle form,24122556
loncastuximab,formulation_factor,antitumor activity,clinical_outcome,promotes,2,2,high,loncastuximab tesirine had substantial single-agent antitumour activity in patients with R/R DLBCL.,33211842;35061047
I-labeled mAb,sequence_structure,Kd value,quality_attribute,binds,2,1,high,(123)I-mAb 14C5 bound to SK-BR-3 cells (dissociation constant [K(d)] approximately 0.85 +/- 0.17 nmol/L) and HeLa cells.,15181142
pseudo-stability,clinical_outcome,survival,clinical_outcome,correlates,2,1,medium,primary and secondary pseudo-stability/progression could be associated with similar or inferior overall survival outcome,41545308
low concentration,formulation_factor,solubility of IgG,quality_attribute,increases,2,1,high,Low concentration of either sodium/potassium phosphate...favoured the solubility of IgG.,20723008
low pH,formulation_factor,stability,quality_attribute,stabilizes,2,2,high,"Low pH treatment improves the tolerance to intravenous infusion, the stability, and the viral safety.",22266304;24124172
trehalose,formulation_factor,colloidal stability,quality_attribute,increases,2,1,high,Maximal colloidal stability of GNRs is observed in the presence of trehalose,30145244
HJ03,formulation_factor,mouse survival,clinical_outcome,increases,2,1,high,administration of HJ03 significantly prolonged the lifespan.,41772145
mAb,sequence_structure,detection,quality_attribute,promotes,2,2,high,we target both total and 'active' EGFR on EVs; with a monoclonal antibody mAb806,34681409;37905113
ARX788,sequence_structure,antitumor activity,clinical_outcome,increases,2,2,high,...confirmed strong antitumor activity of ARX788 in HER2-positive and HER2-low expression tumors...,32499302;32669315
bioactive products,formulation_factor,osteogenesis,clinical_outcome,promotes,2,1,medium,"promotion of osteoblastogenesis, suppression of osteoclastogenesis",41322298
loncastuximab,formulation_factor,stability,quality_attribute,stabilizes,2,2,high,loncastuximab tesirine had excellent stability and acceptable safety profile.,33211842;35061047
CD147 mAb,sequence_structure,inflammation,clinical_outcome,destabilizes,2,1,high,...through reduction of inflammatory response and regulation of the above defined hub proteins and biological processes.,37393837
LamH10,sequence_structure,sperm agglutination,clinical_outcome,increases,2,1,high,"the most potent mAb among the panel of polyvalent antibodies against CD52g on human sperm, comprises 10 Fabs per molecul",40698582
mAb,sequence_structure,estrus cycle,clinical_outcome,destabilizes,2,1,high,F1D3C5 completely blocks estrus cycle.,41492967
EDTA,formulation_factor,oxidation,degradation_pathway,inhibits,2,2,high,DTPA was equivalent to Na(2)EDTA with respect to inhibiting iron-induced degradation.,20737631;36130676
ionic strength,formulation_factor,colloidal stability,quality_attribute,destabilizes,2,2,medium,"the effect of solution properties, such as protein concentration, ionic strength, and pH shift, on the strength of prote",28617076;35081405
lyophilized formulation,formulation_factor,storage stability,quality_attribute,stabilizes,2,2,medium,the proteins may be stored at room temperature.,37546919;37919321
technological advancements,formulation_factor,stability,quality_attribute,promotes,2,2,medium,stability improvement.,41007619;41110778
deamidation,degradation_pathway,aggregation,quality_attribute,promotes,2,2,high,asparagine deamidation...promoting aggregation at a wide range of solution conditions.,30916563;31678251
pH range,formulation_factor,aggregation,degradation_pathway,decreases,2,2,high,Aggregate formation...was minimal at intermediate pH (pH 4.8-5.3).,17823949;19931468
humanization,sequence_structure,immunogenicity,clinical_outcome,destabilizes,2,2,medium,reducing the potential risk of immunogenicity associated with animal-derived antibodies,30539472;30539473
machine learning,formulation_factor,prediction accuracy,quality_attribute,increases,2,2,medium,give a high prediction accuracy on a dataset of 20 molecules.,35040751;40753112
site-specific conjugation,formulation_factor,therapeutic index,clinical_outcome,increases,2,2,high,demonstrating an expansion of the AJICAP-ADC therapeutic index compared with that of commercially available T-DM1.,36042175;36894324
neutral pH,formulation_factor,activity,degradation_pathway,promotes,2,2,medium,an additional metallo-protease inhibited by EDTA was identified with an optimum activity at neutral pH.,16493076;19655395
spray drying,stress_condition,stability,quality_attribute,increases,2,2,high,"SD was performed, and the protein stability was compared to that prior SD.",40057212;40280286
N-acetyl-DL-tryptophan,formulation_factor,oxidation,degradation_pathway,prevents,2,1,high,N-acetyl-DL-tryptophan was effective at protecting tryptophans from AAPH stress.,30280329
pH,formulation_factor,physical stability,quality_attribute,destabilizes,2,2,high,the physical stability of these IgG1-Fc glycoproteins was examined as a function of pH,24740840;31697947
fusion to Fc,sequence_structure,stability,quality_attribute,increases,2,2,high,"To enhance its stability and in vivo persistence, Nb35 was fused to the human IgG1 Fc domain.",37919321;41389589
ID3,sequence_structure,PD-L1 expression,quality_attribute,increases,2,1,high,"enhances ID3's transcriptional activity, resulting in elevated PD-L1 expression.",41486422
nanobodies,sequence_structure,stability,quality_attribute,stabilizes,2,2,medium,"including small size, stability, and specificity.",40786610;41562774
AL101,sequence_structure,PGRN levels,quality_attribute,increases,2,1,high,AL101 increased PGRN levels by decreasing cell surface sortilin levels.,40713730
Fc engineering,sequence_structure,stability,quality_attribute,increases,2,2,medium,engineering of Fc to increase its stability.,27855600;40574860
MAR-PB system,formulation_factor,specific productivity,quality_attribute,increases,2,1,high,the MAR-PB system increases the titers (3.95- to 5.61-fold) and specific protein productivity (Qp; 4.28- to 6.07-fold) o,41684223
MAR-PB system,formulation_factor,titer,quality_attribute,increases,2,1,high,the MAR-PB system increases the titers (3.95- to 5.61-fold) and specific protein productivity (Qp; 4.28- to 6.07-fold) o,41684223
cleavable linkers,formulation_factor,drug release,clinical_outcome,promotes,2,2,high,exploit stimuli-responsive linkers or cell-penetrating peptides to release drugs.,41444020;41710577
acidic pH,formulation_factor,activity,degradation_pathway,promotes,2,2,medium,the enzyme belongs to an aspartic protease family and is preferably active at acidic pH.,16493076;19655395
Multi-Attribute Methods,formulation_factor,higher specificity,quality_attribute,increases,1,1,high,"MAM offers higher specificity, sensitivity, and the ability to detect unexpected modifications.",41570435
pH range,formulation_factor,LA298,quality_attribute,stabilizes,1,1,high,"Less decrease in monomeric LA298 was observed in citrate buffer, pH 5.0-5.5.",16316730
modifications,degradation_pathway,physical stability,quality_attribute,destabilizes,1,1,medium,predict the impact of modifications on physical stability.,35040751
